country,period,join_valid
0,0,1.0
0,1,0.0
0,2,0.92
0,3,0.36
0,4,0.0
0,5,0.0
0,6,1.0
0,7,0.04
0,8,0.0
0,9,0.28
0,10,1.0
0,11,0.52
0,12,0.0
0,13,0.96
0,14,0.0
0,15,0.68
0,16,0.0
0,17,0.68
0,18,0.0
0,19,1.0
1,0,0.08
1,1,1.0
1,2,0.28
1,3,0.96
1,4,0.0
1,5,0.0
1,6,1.0
1,7,0.92
1,8,0.0
1,9,0.24
1,10,0.0
1,11,0.0
1,12,0.96
1,13,0.0
1,14,1.0
1,15,0.76
1,16,0.0
1,17,0.0
1,18,0.36
1,19,0.0
2,0,1.0
2,1,0.96
2,2,0.0
2,3,0.96
2,4,0.08
2,5,0.96
2,6,0.0
2,7,1.0
2,8,0.0
2,9,0.96
2,10,1.0
2,11,0.0
2,12,0.52
2,13,0.0
2,14,0.96
2,15,0.0
2,16,1.0
2,17,0.0
2,18,0.12
2,19,1.0
3,0,0.0
3,1,1.0
3,2,0.0
3,3,0.0
3,4,0.2
3,5,0.04
3,6,0.0
3,7,0.0
3,8,0.0
3,9,1.0
3,10,0.12
3,11,0.48
3,12,0.0
3,13,0.96
3,14,1.0
3,15,1.0
3,16,0.0
3,17,0.2
3,18,0.0
3,19,0.08
4,0,0.8
4,1,0.32
4,2,0.0
4,3,0.92
4,4,0.0
4,5,0.96
4,6,0.36
4,7,0.92
4,8,0.0
4,9,1.0
4,10,1.0
4,11,0.96
4,12,0.68
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,1.0
4,18,0.0
4,19,0.04
5,0,1.0
5,1,0.76
5,2,0.0
5,3,0.64
5,4,0.88
5,5,0.64
5,6,0.0
5,7,0.76
5,8,1.0
5,9,0.0
5,10,0.0
5,11,0.04
5,12,0.0
5,13,0.04
5,14,0.0
5,15,0.0
5,16,0.12
5,17,1.0
5,18,0.08
5,19,0.0
6,0,1.0
6,1,0.0
6,2,0.08
6,3,0.0
6,4,0.0
6,5,1.0
6,6,0.56
6,7,1.0
6,8,0.0
6,9,0.16
6,10,0.0
6,11,0.8
6,12,0.4
6,13,1.0
6,14,1.0
6,15,1.0
6,16,0.56
6,17,0.84
6,18,0.0
6,19,1.0
7,0,1.0
7,1,1.0
7,2,0.0
7,3,0.96
7,4,0.4
7,5,0.0
7,6,0.0
7,7,1.0
7,8,0.4
7,9,0.0
7,10,1.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,1.0
7,15,0.0
7,16,0.0
7,17,0.32
7,18,0.92
7,19,0.72
8,0,0.0
8,1,0.6
8,2,0.0
8,3,0.96
8,4,0.96
8,5,0.0
8,6,1.0
8,7,0.24
8,8,0.96
8,9,0.0
8,10,1.0
8,11,0.12
8,12,0.0
8,13,0.0
8,14,0.6
8,15,0.0
8,16,0.0
8,17,0.04
8,18,1.0
8,19,1.0
9,0,0.0
9,1,1.0
9,2,0.92
9,3,0.0
9,4,1.0
9,5,1.0
9,6,0.0
9,7,0.0
9,8,0.0
9,9,0.32
9,10,0.36
9,11,0.76
9,12,0.96
9,13,0.96
9,14,0.0
9,15,1.0
9,16,0.2
9,17,0.48
9,18,0.44
9,19,1.0
